inclusion,current_role,consent_date,age,gender,race_eth,sex_orient,educator_status,high_lved,yrs_teach,current_class,current_class_other,teach_stud,school_type,school_type_other,school_loc,school_level,school_level_other,grades_teach,school_size,mh_syst,mh_prac,mh_prac_other,pro_1,pro_2,pro_3,pro_4,pro_5,pro_6,pro_7,pro_8,pro_9,pro_10,pro_11,pro_12,pro_13,pro_14,pro_15,pro_16,pro_17,pro_18,pro_19,pro_20,pro_21,pro_22,pro_23,pro_24,pro_25,pro_26,pro_27,pro_28,pro_29,pro_30,mhl_1,mhl_2,mhl_3,mhl_4,mhl_5,mhl_6,mhl_7,mhl_8,mhl_9,mhl_10,mhl_11,mhl_12,mhl_13,mhl_14,mhl_15,erq_1,erq_2,erq_3,erq_4,erq_5,erq_6,erq_7,erq_8,erq_9,erq_10,stress_1E,stress_1A,stress_2E,stress_2A,stress_3E,stress_3A,stress_4E,stress_4A,stress_5A,stress_5E,stress_6E,stress_6A,stress_7E,stress_7A,stress_8E,stress_8A,stress_9E,stress_9A,stress_10E,stress_10A,stress_11E,stress_11A,stress_12E,stress_12A,stress_13E,stress_13A,stress_14E,stress_14A,stress_15E,stress_15A,leav_prof_yr,leave_prof_five_yrs,leave_prof_why,leave_prof_why_oth
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,35-44,"Male,Cisgender (your gender identity is the same as your sex assigned at birth)",White or Caucasian,"Pansexual,Queer",Professional License,Graduated from Teacher License Program,2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Charter school,,"In a suburban area near a city (population between 49,000 and 250,000)",High School,,"7,8,9,10,11,12+",Less than 500 students,Yes,Social-emotional or mental health interventions/supports,,,Often,Often,Very often,Rarely,Often,Often,Never,Never,Often,Often,Often,Never,Never,Often,Sometimes,Often,Often,Often,Often,Often,Often,Never,Often,Rarely,Often,Often,Never,Often,Often,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,9,8,6,6,7,8,7,7,8,7,7,7,5,5,7,6,7,7,3,3,3,3,3,3,5,5,7,7,3,3,0-24%,25-49%,"Student behavior,Workload,Salary,Lack of resources,Limited planning time,Emotional exhaustion,Work environment",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,45-54,"Female,Cisgender (your gender identity is the same as your sex assigned at birth)",White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,11-15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Charter school,,"In a suburban area near a city (population between 49,000 and 250,000)",K-8,,4,Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports,Other program or practice (Please specify.)",SEL curriculum taught in classes daily,Often,Sometimes,Often,Often,Very often,Sometimes,Rarely,Rarely,Rarely,Never,Rarely,Often,Rarely,Never,Very often,Very often,Sometimes,Sometimes,Sometimes,Often,Never,Often,Never,Often,Never,Rarely,Often,Sometimes,Often,Often,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Neither agree nor disagree (neutral),Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree (neutral),Somewhat agree,Neither agree nor disagree (neutral),Somewhat agree,7,5,3,3,2,2,3,3,6,6,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0-24%,0-24%,"Salary,Emotional exhaustion",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,55-64,Male,"Native American/American Indian/Alaska Native,Hispanic or Latino/Latina",Prefer not to answer,Current K-12 license through TSPC,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with a 504 plan,Talented and Gifted Students,Students who have experienced trauma",Public school,,"In an urban area or city (population of 250,000 or more)",Elementary School,,4,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Often,Rarely,Never,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,Never,Very often,Rarely,Very often,Often,Rarely,Very often,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,8,6,7,6,6,7,8,6,5,5,9,8,5,2,5,2,4,2,4,2,6,4,2,3,3,4,2,1,4,2,25-49%,50-74%,"Administrative support,Student behavior,Staff shortages,Workload,Salary,Limited planning time,Work environment,School culture",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/21/24,55-64,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,"6,7,8",Less than 500 students,Yes,Social-emotional or mental health interventions/supports,,Sometimes,Often,Sometimes,Sometimes,Never,Rarely,Rarely,Never,Never,Sometimes,Often,Sometimes,Rarely,Never,Very often,Sometimes,Sometimes,Sometimes,Very often,Often,Sometimes,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,7,2,9,3,9,6,8,5,8,5,3,2,8,2,4,3,10,3,,2,,2,7,2,2,2,,,,,0-24%,75-100%,"Student behavior,Emotional exhaustion,Retirement",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/21/24,35-44,Female,Asian,Straight,"Current K-12 license through TSPC,Preliminary License","Master's Degree,Graduated from Teacher License Program",2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students",Public school,,"In an urban area or city (population of 250,000 or more)",Elementary School,,"2,3",Less than 500 students,I am not sure,,,Often,Often,Very often,Very often,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Often,Rarely,Rarely,Often,Often,Very often,Often,Rarely,Often,Rarely,Often,Sometimes,Often,Rarely,Sometimes,Often,Rarely,Very often,Often,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,7,8,7,8,6,6,4,6,4,5,5,5,6,6,4,5,4,5,3,4,5,5,4,4,2,2,3,3,3,3,0-24%,0-24%,"Workload,Lack of resources,Limited planning time,Emotional exhaustion,Work environment,School culture",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,25-34,Female,Asian,Straight,Preliminary License,Master's Degree,0-1 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,1,Less than 500 students,No,,,Often,Very often,Sometimes,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Rarely,Very often,Rarely,Sometimes,Sometimes,Very often,Often,Very often,Often,Rarely,Sometimes,Rarely,Very often,Sometimes,Rarely,Often,Rarely,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Somewhat disagree,Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Somewhat disagree,Agree,Disagree,Somewhat agree,10,10,8,6,10,10,10,10,10,10,7,7,10,10,10,10,10,10,8,10,4,6,10,10,5,10,10,5,1,1,0-24%,75-100%,"Student behavior,Workload,Salary,Emotional exhaustion,Another option not listed",Family circumstances
Yes,Classroom Teacher in K-12 Setting in Oregon,5/21/24,25-34,Female,White or Caucasian,"Bisexual,Straight",Current K-12 license through TSPC,Master's Degree,2-5 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,"6,7,8",Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,School-based health center",,Sometimes,Very often,Very often,Often,Often,Rarely,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Often,Sometimes,Very often,Rarely,Sometimes,Sometimes,Very often,Often,Very often,Sometimes,Often,Sometimes,Very often,Very often,Sometimes,Often,Very often,Often,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,8,4,6,4,4,2,10,6,10,6,8,5,9,4,5,3,9,4,5,3,5,2,4,2,7,2,6,2,5,3,25-49%,50-74%,"Administrative support,Student behavior,Staff shortages,Staff turnover,Workload,Salary,Desire to change role within schools,Lack of resources,Limited planning time,Emotional exhaustion,Work environment,School culture",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/20/24,35-44,Female,White or Caucasian,Straight,"Current K-12 license through TSPC,Professional License","Master's Degree,Graduated from Teacher License Program",More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In an urban area or city (population of 250,000 or more)",Elementary School,,"K,1,2,3,4,5",Less than 500 students,No,,,Rarely,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Very often,Very often,Very often,Sometimes,Very often,Very often,Sometimes,Often,Sometimes,Rarely,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Rarely,Very often,Sometimes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat agree,Somewhat agree,6,4,6,4,8,6,8,6,9,6,5,3,5,3,5,3,8,4,6,3,3,1,9,9,6,2,8,3,8,7,75-100%,75-100%,"Administrative support,Student behavior,Staff shortages,Workload,Salary,Lack of resources,Limited planning time,Emotional exhaustion,Work environment",
Yes,Teacher candidate (in Master's level pre-service program) in Oregon,5/21/24,35-44,Female,"Asian,Hispanic or Latino/Latina",Straight,"Teacher candidate (pre-service),Emergency/Restricted License","Master's Degree,Currently in Teacher License Program",0-1 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Twice Exceptional Students (Students with disabilities and giftedness),Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,"K,1,2,3,4,5",Less than 500 students,Yes,"Universal screening,Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Often,Very often,Often,Often,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Never,Never,Often,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Never,Often,Never,Sometimes,Sometimes,Rarely,Often,Often,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree (neutral),Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,7,3,3,2,5,3,5,2,7,3,5,3,2,,6,3,5,3,2,,,,4,2,5,2,,,,1,0-24%,0-24%,"Administrative support,Workload,Salary,Desire to change role within schools,Emotional exhaustion,Work environment",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/21/24,35-44,"Female,Cisgender (your gender identity is the same as your sex assigned at birth)",White or Caucasian,Straight,Current K-12 license through TSPC,Bachelor's Degree,6-10 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma","Public school,Charter school",,"In a suburban area near a city (population between 49,000 and 250,000)",High School,,"7,8,9,10,11,12+",Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies,School-based health center",,Sometimes,Very often,Sometimes,Sometimes,Rarely,Rarely,Very often,Often,Very often,Very often,Often,Sometimes,Very often,Rarely,Never,Often,Rarely,Sometimes,Very often,Often,Very often,Often,Never,Very often,Sometimes,Very often,Very often,Often,Often,Sometimes,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Agree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,Disagree,Somewhat agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,7,8,8,8,1,9,9,5,10,2,7,8,7,2,8,2,10,10,7,3,3,9,7,7,6,4,2,10,8,8,25-49%,50-74%,"Student behavior,Salary,Limited planning time,Emotional exhaustion,Work environment,Retirement",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/22/24,25-34,Female,Hispanic or Latino/Latina,Straight,Current K-12 license through TSPC,Master's Degree,6-10 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students who have experienced trauma",Public school,,"In an urban area or city (population of 250,000 or more)",Elementary School,,K,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Rarely,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Often,Often,Often,Very often,Very often,Often,Very often,Often,Rarely,Often,Sometimes,Sometimes,Sometimes,Rarely,Often,Sometimes,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Disagree,Neither agree nor disagree (neutral),Disagree,Agree,Disagree,Somewhat agree,Agree,Somewhat disagree,Agree,8,5,3,2,6,3,5,3,8,2,4,4,5,2,6,3,7,3,1,1,8,3,6,2,6,2,5,2,1,1,50-74%,75-100%,"Administrative support,Staff turnover,Workload,Salary,Emotional exhaustion",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/21/24,25-34,"Female,Cisgender (your gender identity is the same as your sex assigned at birth)",Hispanic or Latino/Latina,Straight,Current K-12 license through TSPC,Master's Degree,2-5 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Other,Choice school,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,3,501 to 1000 students,No,,,Sometimes,Very often,Sometimes,Rarely,Rarely,Rarely,Often,Rarely,Sometimes,Often,Often,Rarely,Sometimes,Rarely,Often,Rarely,Sometimes,Rarely,Very often,Sometimes,Very often,Rarely,Never,Rarely,Never,Very often,Never,Often,Often,Sometimes,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,9,8,6,4,6,6,4,4,6,3,5,2,3,1,6,3,2,1,,,,,,,5,5,,,,,75-100%,75-100%,"Student behavior,Staff shortages,Workload,Desire to change role within schools,Lack of resources,Limited planning time,Emotional exhaustion",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/21/24,55-64,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Bachelor's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,6,Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Very often,Often,Sometimes,Rarely,Often,Very often,Sometimes,Sometimes,Very often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Often,Sometimes,Very often,Sometimes,Rarely,Often,Often,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,7,8,2,3,5,5,3,3,9,10,4,7,2,2,4,7,4,6,3,5,4,8,3,7,2,4,7,10,8,9,0-24%,75-100%,"Student behavior,Workload,Salary,Lack of resources,Emotional exhaustion,Retirement",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/21/24,25-34,Female,White or Caucasian,"Asexual,Straight",Current K-12 license through TSPC,"Bachelor's Degree,Graduated from Teacher License Program",6-10 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",Middle School,,"6,7",Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Often,Often,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Often,Rarely,Rarely,Often,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Never,Often,Rarely,Sometimes,Often,Rarely,Often,Often,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,6,3,5,3,1,1,7,3,9,4,6,3,7,4,3,2,6,3,1,3,1,4,3,3,1,3,1,3,1,3,25-49%,25-49%,"Student behavior,Lack of resources",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/22/24,35-44,Male,White or Caucasian,Straight,Professional License,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",High School,,"9,10,11,12+",Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Very often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Very often,Very often,Sometimes,Sometimes,Often,Often,Very often,Sometimes,Sometimes,Very often,Often,Very often,Often,Rarely,Often,Often,Very often,Often,Rarely,Often,Sometimes,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly disagree,Disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree (neutral),Agree,Strongly agree,Somewhat agree,Agree,Agree,Somewhat agree,9,6,3,3,2,1,10,5,10,8,8,5,1,1,4,1,6,2,1,1,1,1,1,1,2,1,4,1,1,1,25-49%,50-74%,"Administrative support,Student behavior,Staff turnover,Workload,Salary,Lack of resources,Limited planning time,Emotional exhaustion,Work environment,School culture",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/22/24,35-44,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,6-10 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",High School,,"9,10,11,12+",Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Very often,Often,Sometimes,Never,Sometimes,Never,Sometimes,Often,Sometimes,Often,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Very often,Often,Very often,Sometimes,Often,Often,Often,Very often,Often,Often,Very often,Sometimes,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,8,9,7,8,6,7,10,8,10,7,4,7,6,9,3,5,9,9,5,6,8,6,10,8,3,6,4,8,4,8,0-24%,25-49%,"Administrative support,Staff shortages,Staff turnover,Workload,Salary,Limited planning time,Emotional exhaustion,Work environment,School culture",
Yes,Neither or Other,5/22/24,45-54,Female,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,More than 15 years,Other (Please Specify),physical education,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a suburban area near a city (population between 49,000 and 250,000)",Elementary School,,"K,1,2,3,4,5",Less than 500 students,No,,,Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Rarely,Sometimes,Often,Often,Rarely,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Rarely,Very often,Sometimes,Rarely,Often,Rarely,Somewhat disagree,Agree,Somewhat agree,Disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Strongly disagree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,7,6,4,3,6,6,10,8,8,7,1,1,1,1,6,4,3,2,7,6,1,1,5,4,3,2,8,5,8,6,0-24%,0-24%,"Student behavior,Staff shortages,Staff turnover,Workload,Salary,Lack of resources,Emotional exhaustion",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/22/24,55-64,Prefer not to answer,Prefer not to answer,Bisexual,Current K-12 license through TSPC,Master's Degree,More than 15 years,Special Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",High School,,"9,10,11,12+",Less than 500 students,Yes,School-based health center,,Very often,Often,Sometimes,Very often,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Sometimes,Often,Rarely,Never,Often,Sometimes,Very often,Often,Often,Often,Sometimes,Very often,Never,Often,Never,Sometimes,Sometimes,Rarely,Very often,Often,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree (neutral),Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,3,2,3,3,2,2,1,2,4,4,1,1,1,1,1,1,3,2,1,1,3,1,1,2,2,2,1,1,1,1,0-24%,0-24%,"Administrative support,Salary,Retirement",
Yes,Classroom Teacher in K-12 Setting in Oregon,5/22/24,45-54,Male,White or Caucasian,Straight,Current K-12 license through TSPC,Master's Degree,More than 15 years,General Education,,"Students with emotional/behavioral challenges,Students with disabilities (with IEP),Students with a 504 plan,Twice Exceptional Students (Students with disabilities and giftedness),Talented and Gifted Students,Students with mental health diagnosis (by a medical/clinical professional),Students with a chronic illness (e.g., diabetes, epilepsy),Students who have experienced trauma",Public school,,"In a small town or rural area (population of 49,000 or less)",High School,,"9,10,11,12+",Less than 500 students,Yes,"Social-emotional or mental health interventions/supports,Community-school partnerships with outside agencies",,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,Often,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Never,Often,Rarely,Often,Often,Rarely,Often,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree (neutral),Disagree,Neither agree nor disagree (neutral),Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,3,1,1,1,5,2,1,1,10,5,3,3,1,1,5,3,3,2,1,1,2,1,1,1,5,2,1,1,1,1,0-24%,25-49%,Retirement,
